2025-04-06 14:38:37
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/22
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/23
日文平假名‧片假名練習簿,大新出版社編輯部,31元,語言學習,https://www.books.com.tw/products/0010142884/24
零基礎學中醫：第一本把氣血、五行、陰陽視覺化的基礎手冊，自己找病因、醫病順暢溝通、正確養生。,馬可迅,180元,醫療保健,https://www.books.com.tw/products/0010768447/25
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/26
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/27
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/28
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/29
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/30
你願意，人生就會值得：蔡康永的情商課3,蔡康永,316元,心理勵志,https://www.books.com.tw/products/0010995752/31
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,強納森．海德特,360元,人文社科,https://www.books.com.tw/products/0011006606/32
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,約翰‧史崔勒基,395元,心理勵志,https://www.books.com.tw/products/0011014199/33
日語字母書寫練習,巫沅達,70元,語言學習,https://www.books.com.tw/products/0010837257/34
國考申論式空白作答紙(6份),三民輔考製作團隊,35元,考試用書,https://www.books.com.tw/products/0010674246/35
中道【贈品限量版】：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015335/36
麵包小偷5：熱呼呼的麵包車,柴田啓子,252元,童書/青少年文學,https://www.books.com.tw/products/0011008136/37
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/38
今天不當媽媽！【博客來獨家＊附贈限量媽媽換裝紙娃娃】,貓魚,355元,童書/青少年文學,https://www.books.com.tw/products/0011017478/39
第二堂人生國文課：以文字為燈，一場國文課的溫柔革命【作者限量親簽+燙金書籤】,羊咩老師,300元,文學小說,https://www.books.com.tw/products/0011016984/40
長女病：我們不是天生愛扛責任，台灣跨世代女兒的故事,張慧慈（小花媽）,355元,人文社科,https://www.books.com.tw/products/0011017053/41
天選．矽島：川普風暴下的科技島,黃欽勇,355元,商業理財,https://www.books.com.tw/products/0011015760/42
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,1232元,語言學習,https://www.books.com.tw/products/0010994781/43
酸種麵包原來如此：從零開始～祖祖的自養酵母烘焙筆記,唐子浩,458元,飲食,https://www.books.com.tw/products/0011017248/44
吃出青春抗老力，健康儲值從餐桌開始！【作者親簽版】：三位營養專家的科學抗老新提案，器官導向×系統拆解×實作食譜，教你從餐桌累積健康資本，延續青春活力！,"吳映蓉,翁德志,李芷薇",410元,醫療保健,https://www.books.com.tw/products/0011017252/45
陳郁如養心1+2限量套書（《消失的生死玦》+《泥魔妖的誘惑》附首批贈品）,（出版社：親子天下）,優惠價：600元,童書/青少年文學,https://www.books.com.tw/products/0011018151/46
如何好好告別生命：《斷食善終》3，一百九十個台灣個案接觸經驗、十八個故事分享，斷食自然往生的執行步驟與觀念釐清，臨終者最需要的善終指引,畢柳鶯,379元,心理勵志,https://www.books.com.tw/products/0010992294/47
張忠謀自傳全集（上下冊）,張忠謀,869元,商業理財,https://www.books.com.tw/products/0011005571/48
抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛,林熙 Brett Lindsay,300元,語言學習,https://www.books.com.tw/products/0010982908/49
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/50
2025-04-06 21:24:55
書名,作者,價格,分類,連結
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/1
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0011012422/2
帶心不帶累的跨世代主管學：打造高績效、能當責的超級團隊， 讓新人心服口服、老鳥對你推心置腹,李河泉,355元,商業理財,https://www.books.com.tw/products/0011017125/3
日本超人氣怪談和尚的京都怪奇談三部曲套書,三木大雲,759元,宗教命理,https://www.books.com.tw/products/0010981054/4
世界上最透明的故事（日本出版界話題作，只有紙本書可以體驗的感動）,杉井光,284元,文學小說,https://www.books.com.tw/products/0011001466/5
如果歷史是一群喵(15)：大清風雲篇【萌貓漫畫學歷史】,肥志,387元,人文社科,https://www.books.com.tw/products/0011017641/6
旅者健康守護人,（出版社：出色文化）,379元,醫療保健,https://www.books.com.tw/products/0011017700/7
天選．矽島：川普風暴下的科技島,黃欽勇,355元,商業理財,https://www.books.com.tw/products/0011015760/8
從低谷突破：40年精神科權威史塔茲的療癒之道,菲爾．史塔茲,355元,心理勵志,https://www.books.com.tw/products/0011016348/9
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252元,商業理財,https://www.books.com.tw/products/0011014573/10
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0010977461/11
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/12
戰爭下的平民生存手冊：懂這些，才能撐過黃金48小時【關鍵時刻救你，也救家人】(附緊急避難檢查卡),邱世卿,355元,人文社科,https://www.books.com.tw/products/0010954819/13
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,237元,商業理財,https://www.books.com.tw/products/0010959973/14
如是我聞：金剛經筆記【加贈蔣勳祈福讀誦《金剛經》+繪寫書籤2款】,蔣勳,276元,宗教命理,https://www.books.com.tw/products/0011016963/15
我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",355元,心理勵志,https://www.books.com.tw/products/0010947051/16
當我們需要安慰：法國精神科醫師寫給這個世代的愛之語,克里斯多夫．安德烈,379元,心理勵志,https://www.books.com.tw/products/0011017506/17
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,354元,語言學習,https://www.books.com.tw/products/0010991568/18
你的人生，他們六個說了算！：決定你一生的六種物質,大衛．JP．菲利浦斯,284元,心理勵志,https://www.books.com.tw/products/0011009311/19
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316元,心理勵志,https://www.books.com.tw/products/0010914794/20
首爾大學韓國語1A（雙光碟版：1互動光碟＋1MP3）,首爾大學語言教育院,355元,語言學習,https://www.books.com.tw/products/0010617267/21
我的同學是一隻熊2：深山裡的同學會（博客來獨家書衣版）,張友漁,316元,童書/青少年文學,https://www.books.com.tw/products/0011011357/22
祕密派對,勵馨基金會,535元,童書/青少年文學,https://www.books.com.tw/products/0010879205/23
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/24
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/25
日文平假名‧片假名練習簿,大新出版社編輯部,31元,語言學習,https://www.books.com.tw/products/0010142884/26
零基礎學中醫：第一本把氣血、五行、陰陽視覺化的基礎手冊，自己找病因、醫病順暢溝通、正確養生。,馬可迅,180元,醫療保健,https://www.books.com.tw/products/0010768447/27
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/28
捨得，捨不得：帶著金剛經旅行 （隨書附贈蔣勳念誦金剛經音檔QR Code）,蔣勳,266元,文學小說,https://www.books.com.tw/products/0010653617/29
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/30
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/31
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/32
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,260元,商業理財,https://www.books.com.tw/products/0010822522/33
第二堂人生國文課：以文字為燈，一場國文課的溫柔革命【作者限量親簽+燙金書籤】,羊咩老師,300元,文學小說,https://www.books.com.tw/products/0011016984/34
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,強納森．海德特,360元,人文社科,https://www.books.com.tw/products/0011006606/35
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,1232元,語言學習,https://www.books.com.tw/products/0010994781/36
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/37
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/38
你願意，人生就會值得：蔡康永的情商課3,蔡康永,316元,心理勵志,https://www.books.com.tw/products/0010995752/39
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,約翰‧史崔勒基,395元,心理勵志,https://www.books.com.tw/products/0011014199/40
日語字母書寫練習,巫沅達,70元,語言學習,https://www.books.com.tw/products/0010837257/41
國考申論式空白作答紙(6份),三民輔考製作團隊,35元,考試用書,https://www.books.com.tw/products/0010674246/42
酸種麵包原來如此：從零開始～祖祖的自養酵母烘焙筆記,唐子浩,458元,飲食,https://www.books.com.tw/products/0011017248/43
中道【贈品限量版】：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015335/44
如何好好告別生命：《斷食善終》3，一百九十個台灣個案接觸經驗、十八個故事分享，斷食自然往生的執行步驟與觀念釐清，臨終者最需要的善終指引,畢柳鶯,379元,心理勵志,https://www.books.com.tw/products/0010992294/45
麵包小偷5：熱呼呼的麵包車,柴田啓子,252元,童書/青少年文學,https://www.books.com.tw/products/0011008136/46
張忠謀自傳全集（上下冊）,張忠謀,869元,商業理財,https://www.books.com.tw/products/0011005571/47
中年之路：穿越幽暗，迎向完整的內在鍊金之旅,詹姆斯．霍利斯,379元,心理勵志,https://www.books.com.tw/products/0010990110/48
臺灣漫遊錄,楊双子,300元,文學小說,https://www.books.com.tw/products/0010852315/49
今天不當媽媽！【博客來獨家＊附贈限量媽媽換裝紙娃娃】,貓魚,355元,童書/青少年文學,https://www.books.com.tw/products/0011017478/50
2025-04-06 22:17:35
書名,作者,價格,分類,連結
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/1
天選．矽島：川普風暴下的科技島,黃欽勇,355元,商業理財,https://www.books.com.tw/products/0011015760/2
旅者健康守護人,（出版社：出色文化）,379元,醫療保健,https://www.books.com.tw/products/0011017700/3
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0011012422/4
帶心不帶累的跨世代主管學：打造高績效、能當責的超級團隊， 讓新人心服口服、老鳥對你推心置腹,李河泉,355元,商業理財,https://www.books.com.tw/products/0011017125/5
日本超人氣怪談和尚的京都怪奇談三部曲套書,三木大雲,759元,宗教命理,https://www.books.com.tw/products/0010981054/6
世界上最透明的故事（日本出版界話題作，只有紙本書可以體驗的感動）,杉井光,284元,文學小說,https://www.books.com.tw/products/0011001466/7
如果歷史是一群喵(15)：大清風雲篇【萌貓漫畫學歷史】,肥志,387元,人文社科,https://www.books.com.tw/products/0011017641/8
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/9
從低谷突破：40年精神科權威史塔茲的療癒之道,菲爾．史塔茲,355元,心理勵志,https://www.books.com.tw/products/0011016348/10
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252元,商業理財,https://www.books.com.tw/products/0011014573/11
祕密派對,勵馨基金會,535元,童書/青少年文學,https://www.books.com.tw/products/0010879205/12
你的人生，他們六個說了算！：決定你一生的六種物質,大衛．JP．菲利浦斯,284元,心理勵志,https://www.books.com.tw/products/0011009311/13
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0010977461/14
戰爭下的平民生存手冊：懂這些，才能撐過黃金48小時【關鍵時刻救你，也救家人】(附緊急避難檢查卡),邱世卿,355元,人文社科,https://www.books.com.tw/products/0010954819/15
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,237元,商業理財,https://www.books.com.tw/products/0010959973/16
如是我聞：金剛經筆記【加贈蔣勳祈福讀誦《金剛經》+繪寫書籤2款】,蔣勳,276元,宗教命理,https://www.books.com.tw/products/0011016963/17
我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",355元,心理勵志,https://www.books.com.tw/products/0010947051/18
當我們需要安慰：法國精神科醫師寫給這個世代的愛之語,克里斯多夫．安德烈,379元,心理勵志,https://www.books.com.tw/products/0011017506/19
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,354元,語言學習,https://www.books.com.tw/products/0010991568/20
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/21
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316元,心理勵志,https://www.books.com.tw/products/0010914794/22
首爾大學韓國語1A（雙光碟版：1互動光碟＋1MP3）,首爾大學語言教育院,355元,語言學習,https://www.books.com.tw/products/0010617267/23
我的同學是一隻熊2：深山裡的同學會（博客來獨家書衣版）,張友漁,316元,童書/青少年文學,https://www.books.com.tw/products/0011011357/24
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/25
日文平假名‧片假名練習簿,大新出版社編輯部,31元,語言學習,https://www.books.com.tw/products/0010142884/26
零基礎學中醫：第一本把氣血、五行、陰陽視覺化的基礎手冊，自己找病因、醫病順暢溝通、正確養生。,馬可迅,180元,醫療保健,https://www.books.com.tw/products/0010768447/27
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/28
酸種麵包原來如此：從零開始～祖祖的自養酵母烘焙筆記,唐子浩,458元,飲食,https://www.books.com.tw/products/0011017248/29
長女病：我們不是天生愛扛責任，台灣跨世代女兒的故事,張慧慈（小花媽）,355元,人文社科,https://www.books.com.tw/products/0011017053/30
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/31
捨得，捨不得：帶著金剛經旅行 （隨書附贈蔣勳念誦金剛經音檔QR Code）,蔣勳,266元,文學小說,https://www.books.com.tw/products/0010653617/32
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/33
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/34
張忠謀自傳全集（上下冊）,張忠謀,869元,商業理財,https://www.books.com.tw/products/0011005571/35
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/36
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/37
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,260元,商業理財,https://www.books.com.tw/products/0010822522/38
第二堂人生國文課：以文字為燈，一場國文課的溫柔革命【作者限量親簽+燙金書籤】,羊咩老師,300元,文學小說,https://www.books.com.tw/products/0011016984/39
你願意，人生就會值得：蔡康永的情商課3,蔡康永,316元,心理勵志,https://www.books.com.tw/products/0010995752/40
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,強納森．海德特,360元,人文社科,https://www.books.com.tw/products/0011006606/41
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,1232元,語言學習,https://www.books.com.tw/products/0010994781/42
中道【贈品限量版】：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015335/43
難哄【上中下套書】：Netflix熱播同名電視劇原著小說,竹已,690元,文學小說,https://www.books.com.tw/products/0010902642/44
抄寫英語的奇蹟：1天10分鐘，英語和人生都起飛,林熙 Brett Lindsay,300元,語言學習,https://www.books.com.tw/products/0010982908/45
臺灣漫遊錄,楊双子,300元,文學小說,https://www.books.com.tw/products/0010852315/46
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/47
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,約翰‧史崔勒基,395元,心理勵志,https://www.books.com.tw/products/0011014199/48
日語字母書寫練習,巫沅達,70元,語言學習,https://www.books.com.tw/products/0010837257/49
國考申論式空白作答紙(6份),三民輔考製作團隊,35元,考試用書,https://www.books.com.tw/products/0010674246/50
2025-04-06 23:17:37
書名,作者,價格,分類,連結
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/1
天選．矽島：川普風暴下的科技島,黃欽勇,355元,商業理財,https://www.books.com.tw/products/0011015760/2
帶心不帶累的跨世代主管學：打造高績效、能當責的超級團隊， 讓新人心服口服、老鳥對你推心置腹,李河泉,355元,商業理財,https://www.books.com.tw/products/0011017125/3
旅者健康守護人,（出版社：出色文化）,379元,醫療保健,https://www.books.com.tw/products/0011017700/4
納瓦爾寶典珍藏版：從白手起家到財務自由，矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0011012422/5
日本超人氣怪談和尚的京都怪奇談三部曲套書,三木大雲,759元,宗教命理,https://www.books.com.tw/products/0010981054/6
世界上最透明的故事（日本出版界話題作，只有紙本書可以體驗的感動）,杉井光,284元,文學小說,https://www.books.com.tw/products/0011001466/7
如果歷史是一群喵(15)：大清風雲篇【萌貓漫畫學歷史】,肥志,387元,人文社科,https://www.books.com.tw/products/0011017641/8
從低谷突破：40年精神科權威史塔茲的療癒之道,菲爾．史塔茲,355元,心理勵志,https://www.books.com.tw/products/0011016348/9
你的人生，他們六個說了算！：決定你一生的六種物質,大衛．JP．菲利浦斯,284元,心理勵志,https://www.books.com.tw/products/0011009311/10
祕密派對,勵馨基金會,535元,童書/青少年文學,https://www.books.com.tw/products/0010879205/11
戰爭下的平民生存手冊：懂這些，才能撐過黃金48小時【關鍵時刻救你，也救家人】(附緊急避難檢查卡),邱世卿,355元,人文社科,https://www.books.com.tw/products/0010954819/12
我可能錯了：森林智者的最後一堂人生課,"比約恩．納提科．林德布勞,卡洛琳．班克勒,納維德．莫迪里",355元,心理勵志,https://www.books.com.tw/products/0010947051/13
世界上最神奇的24堂課：全世界唯一一本，因為揭露「致富秘訣」而被查禁的書！,查爾斯‧哈奈爾,237元,商業理財,https://www.books.com.tw/products/0010959973/14
溝通力不是天賦，而是技術：田村淳教你大受歡迎的說話祕訣,田村淳,252元,商業理財,https://www.books.com.tw/products/0011014573/15
納瓦爾寶典：從白手起家到財務自由， 矽谷傳奇創投家的投資哲學與人生智慧,艾瑞克．喬根森,355元,商業理財,https://www.books.com.tw/products/0010977461/16
養心2：泥魔妖的誘惑（首批附贈作者印簽金句扉頁及五悔角色卡）,陳郁如,331元,童書/青少年文學,https://www.books.com.tw/products/0011016959/17
蛤蟆先生去看心理師（暢銷300萬冊！英國心理諮商經典，附《蛤蟆先生勇氣藏書卡》組）,羅伯．狄保德,316元,心理勵志,https://www.books.com.tw/products/0010914794/18
如是我聞：金剛經筆記【加贈蔣勳祈福讀誦《金剛經》+繪寫書籤2款】,蔣勳,276元,宗教命理,https://www.books.com.tw/products/0011016963/19
日文自學ALL IN ONE全攻略【初級】(附100分鐘老師真人教學文法影片+100分鐘單字學習影片+50音筆順練習表+「Youtor App」內含VRP虛擬點讀筆),金子祐己Yumi,354元,語言學習,https://www.books.com.tw/products/0010991568/20
底層邏輯：看清這個世界的底牌,劉潤,316元,商業理財,https://www.books.com.tw/products/0010919211/21
世界盡頭的咖啡館：這一生，我為何而存在？（全球每19秒售出1本！療癒千萬人的暢銷經典，定位人生的神奇之書）,約翰‧史崔勒基,395元,心理勵志,https://www.books.com.tw/products/0011014199/22
當我們需要安慰：法國精神科醫師寫給這個世代的愛之語,克里斯多夫．安德烈,379元,心理勵志,https://www.books.com.tw/products/0011017506/23
首爾大學韓國語1A（雙光碟版：1互動光碟＋1MP3）,首爾大學語言教育院,355元,語言學習,https://www.books.com.tw/products/0010617267/24
長女病：我們不是天生愛扛責任，台灣跨世代女兒的故事,張慧慈（小花媽）,355元,人文社科,https://www.books.com.tw/products/0011017053/25
零基礎學中醫：第一本把氣血、五行、陰陽視覺化的基礎手冊，自己找病因、醫病順暢溝通、正確養生。,馬可迅,180元,醫療保健,https://www.books.com.tw/products/0010768447/26
權證小哥短線終極戰法：4大策略 ✖ 6種工具 ✖ 68個實戰案例，手把手教你賺,權證小哥,379元,商業理財,https://www.books.com.tw/products/0011014572/27
酸種麵包原來如此：從零開始～祖祖的自養酵母烘焙筆記,唐子浩,458元,飲食,https://www.books.com.tw/products/0011017248/28
刻在心迪：冼迪琦寫真（隨書加贈：珍藏海報兩款隨機一款）,冼迪琦,513元,影視偶像,https://www.books.com.tw/products/0011015598/29
我的同學是一隻熊2：深山裡的同學會（博客來獨家書衣版）,張友漁,316元,童書/青少年文學,https://www.books.com.tw/products/0011011357/30
張忠謀自傳全集（上下冊）,張忠謀,869元,商業理財,https://www.books.com.tw/products/0011005571/31
持續買進：資料科學家的投資終極解答，存錢及致富的實證方法,尼克．馬朱利,316元,商業理財,https://www.books.com.tw/products/0010957881/32
全新制怪物講師教學團隊的TOEIC多益5回全真模擬試題+解析【修訂版】（2書＋1CD＋文法教學影片＋「Youtor App」內含VRP虛擬點讀筆＋防水書套）,"林政翰,怪物講師教學團隊（台灣）",473元,語言學習,https://www.books.com.tw/products/0010903540/33
日文平假名‧片假名練習簿,大新出版社編輯部,31元,語言學習,https://www.books.com.tw/products/0010142884/34
最新！新制多益TOEIC聽力／閱讀題庫解析【博客來獨家套書】：最新收錄精準 10 回模擬試題！完整反映命題趨勢、大幅提升應考能力！（附2 MP3光碟＋音檔下載QR碼）,Hackers Academia,1232元,語言學習,https://www.books.com.tw/products/0010994781/35
投資金律（新版）：建立必勝投資組合的四大關鍵和十八堂必修課,威廉．伯恩斯坦,410元,商業理財,https://www.books.com.tw/products/0010980562/36
別對每件事都有反應2：不執著的練習,枡野俊明,260元,心理勵志,https://www.books.com.tw/products/0011011868/37
我親愛的甜橙樹【暢銷千萬冊‧最溫柔的人生書】,約瑟．毛碌．吉．瓦斯康賽魯斯,331元,文學小說,https://www.books.com.tw/products/0011014584/38
原子習慣：細微改變帶來巨大成就的實證法則,詹姆斯‧克利爾,260元,商業理財,https://www.books.com.tw/products/0010822522/39
翻轉你的期貨交易：何毅里長伯突破瓶頸的五個黄金法則,何毅里長伯,394元,商業理財,https://www.books.com.tw/products/0011016500/40
終於來到懶得自尋煩惱的時候【一枝獨秀版】(限量親簽版),彭樹君,331元,文學小說,https://www.books.com.tw/products/0011017402/41
你願意，人生就會值得：蔡康永的情商課3,蔡康永,316元,心理勵志,https://www.books.com.tw/products/0010995752/42
約翰柏格投資常識（全新增訂&十周年紀念版）,約翰 · 柏格,432元,商業理財,https://www.books.com.tw/products/0010811103/43
中道【贈品限量版】：未來的靈性道路,楊定一,395元,宗教命理,https://www.books.com.tw/products/0011015335/44
捨得，捨不得：帶著金剛經旅行 （隨書附贈蔣勳念誦金剛經音檔QR Code）,蔣勳,266元,文學小說,https://www.books.com.tw/products/0010653617/45
致富心態：關於財富、貪婪與幸福的20堂理財課（暢銷增訂版）,摩根‧豪瑟,355元,商業理財,https://www.books.com.tw/products/0010947224/46
第二堂人生國文課：以文字為燈，一場國文課的溫柔革命【作者限量親簽+燙金書籤】,羊咩老師,300元,文學小說,https://www.books.com.tw/products/0011016984/47
第四翼【戰龍系列1】,瑞貝卡・亞羅斯,592元,限制級商品（需登入）,https://www.books.com.tw/products/0011016503/48
失控的焦慮世代：手機餵養的世代，如何面對心理疾病的瘟疫,強納森．海德特,360元,人文社科,https://www.books.com.tw/products/0011006606/49
難哄【上中下套書】：Netflix熱播同名電視劇原著小說,竹已,690元,文學小說,https://www.books.com.tw/products/0010902642/50
2025-04-07 00:20:31
書名,作者,價格,分類,連結
想見妮‧Nicole妮可寫真書★限量盒裝版【博客來獨家】,妮可Nicole,優惠價：1200元,影視偶像,https://www.books.com.tw/products/0011017403/1
天選．矽島：川普風暴下的科技島,黃欽勇,355元,商業理財,https://www.books.com.tw/products/0011015760/2
課本中消失的文學生命與千古追求：一○八課綱中的文化缺席,區桂芝,284元,文學小說,https://www.books.com.tw/products/0011011085/3
臺北文青小史,林秀赫,300元,文學小說,https://www.books.com.tw/products/0011014602/4
TOEIC L&R TEST多益文法解密[全新制],石井辰哉,300元,語言學習,https://www.books.com.tw/products/0010792891/5
好事即將發生2：史努比Snoopy陪你發現獨一無二的自己【隨書贈史努比自在遨遊貼紙】,"亞伯拉罕J．托爾斯基,查爾斯．M．舒茲",284元,心理勵志,https://www.books.com.tw/products/0011009169/6
